ID,Causal claim,Independent variable (coded),Dependent variable (coded),Relationship,sentence_id,source,final_sentence_id
28,"The results show that domestic rice is more expensive than imported rice per ton, supporting the argument that rice imports undermine domestic rice production as a viable income-generating activity.",imported rice,domestic rice production,Negative,9,habitus,9
29,"Despite the fact that rice is a small crop for small and medium farmers in East and South Africa, it is a natural crop in West Africa, where most of the mainland rice is produced",small and medium farmers in East and South Africa,rice (small increase),Positive,10,habitus,10
30,"Despite the fact that rice is a small crop for small and medium farmers in East and South Africa, it is a natural crop in West Africa, where most of the mainland rice is produced",farmers in West Africa,rice (large increase),Positive,10,habitus,10
31,"despite increasing production, Mali still has to rely on imports, mainly from Asia (India, Thailand, Vietnam, Pakistan and China), to satisfy the rice needs of its population",rice imports from Asia,rice availability in Mali,Positive,11,habitus,11
32,"the need for large imports is fundamentally linked to a change in dietary habits rather than a decline in production, with consumption growing at a higher rate than production",dietary habits,imports,Positive,12,habitus,12
33,"the need for large imports is fundamentally linked to a change in dietary habits rather than a decline in production, with consumption growing at a higher rate than production",consumption growing at a higher rate than production,imports,Positive,12,habitus,12
34,"Although the 2012/13 cropping season took place in conditions of political and institutional crisis, production was supported by the State and technical partners, which allowed for a continuation of input subsidy programs and a slight increase in volume produced.",political and institutional crisis,production,Negative,13,habitus,13
35,"Although the 2012/13 cropping season took place in conditions of political and institutional crisis, production was supported by the State and technical partners, which allowed for a continuation of input subsidy programs and a slight increase in volume produced.",input subsidy programs,production,Positive,13,habitus,13
36,"Although the 2012/13 cropping season took place in conditions of political and institutional crisis, production was supported by the State and technical partners, which allowed for a continuation of input subsidy programs and a slight increase in volume produced.",State and technical partners,input subsidy programs,Positive,13,habitus,13
37,"Rice imports into Mali are highly politicized, as already noted above, and can be characterized as a monopolistic situation with only two or three large importers accounting for at least two-thirds of total imports each year",monopolistic situation,few large importers accounting for at least two-thirds of total imports each year,Positive,14,habitus,14
40,Average prices of imported rice remained relatively lower at the country level compared to locally produced rice. These reasons can be explained by the high production costs of locally produced rice and especially by the various exceptional exemptions granted to traders for importing rice in recent years.,production costs of locally produced rice,average prices of locally produced rice,Positive,16,habitus,16
41,Average prices of imported rice remained relatively lower at the country level compared to locally produced rice. These reasons can be explained by the high production costs of locally produced rice and especially by the various exceptional exemptions granted to traders for importing rice in recent years.,exemptions granted to traders for importing rice,average prices of imported rice,Negative,16,habitus,16
42,"As part of its food self- sufficiency efforts, the Malian government is supporting farmers in the form of improved seeds, fertilizers and some agricultural aids to facilitate the production process.",support for farmers,food self-sufficiency,Positive,17,habitus,17
43,"As part of its food self- sufficiency efforts, the Malian government is supporting farmers in the form of improved seeds, fertilizers and some agricultural aids to facilitate the production process.",improved seeds,agricultural production,Positive,17,habitus,17
44,"As part of its food self- sufficiency efforts, the Malian government is supporting farmers in the form of improved seeds, fertilizers and some agricultural aids to facilitate the production process.",fertilizers,agricultural production,Negative,17,habitus,17
45,"As part of its food self- sufficiency efforts, the Malian government is supporting farmers in the form of improved seeds, fertilizers and some agricultural aids to facilitate the production process.",agricultural aids,agricultural production,Positive,17,habitus,17
46,"As part of its food self- sufficiency efforts, the Malian government is supporting farmers in the form of improved seeds, fertilizers and some agricultural aids to facilitate the production process.",support for farmers,improved seeds,Positive,17,habitus,17
47,"As part of its food self- sufficiency efforts, the Malian government is supporting farmers in the form of improved seeds, fertilizers and some agricultural aids to facilitate the production process.",support for farmers,fertilizers,Positive,17,habitus,17
48,"As part of its food self- sufficiency efforts, the Malian government is supporting farmers in the form of improved seeds, fertilizers and some agricultural aids to facilitate the production process.",support for farmers,agricultural aids,Positive,17,habitus,17
49,Prices of livestock surge ahead of Eid. ,Eid celebrations,livestock prices,Positive,18,habitus,18
50,"In livestock markets around the capital Bamako, the prices of animals have shot up remarkably. Butchers and consumers alike are being asked for upwards of 500 Euro a cow. The same figure would get you two animals not so long ago.",price of animals,cost of a cow,Positive,19,habitus,19
51,"In livestock markets around the capital Bamako, the prices of animals have shot up remarkably. Butchers and consumers alike are being asked for upwards of 500 Euro a cow. The same figure would get you two animals not so long ago.",price of animals,higher prices for butchers and consumers,Positive,19,habitus,19
56,"Islamist violence in Mali has also hit cattle herding areas, forcing farmers to abandon their trade.  Climate change too has led to competition for grazing lands and water, leading to intercommunal conflicts. The result, increased costs for breeders.",Islamist violence,abandonment of cattle herding,Positive,21,habitus,21
57,"Islamist violence in Mali has also hit cattle herding areas, forcing farmers to abandon their trade.  Climate change too has led to competition for grazing lands and water, leading to intercommunal conflicts. The result, increased costs for breeders.",climate change,competition for grazing lands and water,Positive,21,habitus,21
58,"Islamist violence in Mali has also hit cattle herding areas, forcing farmers to abandon their trade.  Climate change too has led to competition for grazing lands and water, leading to intercommunal conflicts. The result, increased costs for breeders.",competition for grazing lands and water,intercommunal conflicts,Positive,21,habitus,21
59,"Islamist violence in Mali has also hit cattle herding areas, forcing farmers to abandon their trade.  Climate change too has led to competition for grazing lands and water, leading to intercommunal conflicts. The result, increased costs for breeders.",intercommunal conflicts,increased costs for breeders,Negative,21,habitus,21
60,"Islamist violence in Mali has also hit cattle herding areas, forcing farmers to abandon their trade.  Climate change too has led to competition for grazing lands and water, leading to intercommunal conflicts. The result, increased costs for breeders.",farmers abandon their trade,increased costs for breeders,Positive,21,habitus,21
61,Muslim faithful in Mali say inflation has dampened the mood of this year's festivities. They want authorities to intervene to bring down prices.,inflation,prices,Positive,23,habitus,22
62,Muslim faithful in Mali say inflation has dampened the mood of this year's festivities. They want authorities to intervene to bring down prices.,authorities' intervention,prices,Negative,23,habitus,22
63,Muslim faithful in Mali say inflation has dampened the mood of this year's festivities. They want authorities to intervene to bring down prices.,prices,mood of festivities,Negative,23,habitus,22
67,"Feed is the main challenge to livestock husbandry in urban and suburban areas of West Africa’s Sahel because of its scarcity during the dry season and the limited access to grazing areas. Most livestock keepers therefore depend on purchased feeds, often at high prices and influenced by seasonal variations. ",purchased feeds,cost of livestock husbandry,Positive,25,habitus,24
68,"Feed is the main challenge to livestock husbandry in urban and suburban areas of West Africa’s Sahel because of its scarcity during the dry season and the limited access to grazing areas. Most livestock keepers therefore depend on purchased feeds, often at high prices and influenced by seasonal variations. ",dry season,feed,Negative,25,habitus,24
69,"Feed is the main challenge to livestock husbandry in urban and suburban areas of West Africa’s Sahel because of its scarcity during the dry season and the limited access to grazing areas. Most livestock keepers therefore depend on purchased feeds, often at high prices and influenced by seasonal variations. ",access to grazing areas,purchased feed,Negative,25,habitus,24
70,"Feed is the main challenge to livestock husbandry in urban and suburban areas of West Africa’s Sahel because of its scarcity during the dry season and the limited access to grazing areas. Most livestock keepers therefore depend on purchased feeds, often at high prices and influenced by seasonal variations. ",feed,purchased feed,Negative,25,habitus,24
71,"As a result of the increase in the livestock population and the associated growth in the demand for feeds, feed markets have sprung up in many cities and towns in the region. ",livestock population,demand for feeds,Positive,26,habitus,25
72,"As a result of the increase in the livestock population and the associated growth in the demand for feeds, feed markets have sprung up in many cities and towns in the region. ",demand for feeds,number of feed markets,Positive,26,habitus,25
76,"In view of the high price of crop residues, particularly cowpea hay and groundnut haulm, there are market opportunities for fodder production in suburban areas of West Africa’s Sahel.","price of crop residues, particularly cowpea hay and groundnut haulm",market opportunities for fodder production,Positive,28,habitus,27
77,"Beyond subsistence needs, food is also crucial for structuring social relationships, reinforcing cultural identity and marking the calendar through seasonal feasts.",food,social relationships,Positive,29,habitus,28
78,"Beyond subsistence needs, food is also crucial for structuring social relationships, reinforcing cultural identity and marking the calendar through seasonal feasts.",food,cultural identity,Positive,29,habitus,28
79,"Beyond subsistence needs, food is also crucial for structuring social relationships, reinforcing cultural identity and marking the calendar through seasonal feasts.",food,seasonal feasts,Positive,29,habitus,28
80,Cattle thieves are carrying out daily killings and kidnappings in Zamfara state. Hundreds have died this year alone.,cattle thieves,killings and kidnappings,Positive,30,habitus,29
81,Cattle thieves are carrying out daily killings and kidnappings in Zamfara state. Hundreds have died this year alone.,killings and kidnappings,deaths,Positive,30,habitus,29
82,"A young family fled their village of Kanya to Zurmi town, both in Zamfara state, after cattle rustlers on motorcycles stormed her hometown with AK47s.",cattle rustlers,fleeing villagers,Positive,31,habitus,30
83,"Cattle rustling, which has long afflicted northern Nigeria, has assumed a dangerous dimension in recent years. ",cattle rustling,danger,Positive,32,habitus,31
84,"The many forests in the area, especially the twin forests of Mashema in Zamfara’s north bordering nearby Niger Republic and Birnin Gwari to the south leading to the neighbouring, equally insecure state of Kaduna, have served as bases for criminals who stockpile sophisticated weapons.",criminals,sophisticated weapons,Positive,33,habitus,32
85,"The many forests in the area, especially the twin forests of Mashema in Zamfara’s north bordering nearby Niger Republic and Birnin Gwari to the south leading to the neighbouring, equally insecure state of Kaduna, have served as bases for criminals who stockpile sophisticated weapons.",forests,bases for criminals,Positive,33,habitus,32
86,The situation in Zamfara is nothing new and has been building for years since the state adopted [Islamic] law as a placebo to respond to economic challenges.,economic challenges,adoption of Islamic law,Positive,34,habitus,33
87,"Nigeria’s law enforcement agencies are understaffed and with its army stretched thin by other conflicts, the cattle-rustler crisis has continued unabated mostly in Zamfara but also Kaduna, Katsina, Niger and, recently, Sokoto states.",conflicts,stretched thin army,Positive,35,habitus,34
88,"Nigeria’s law enforcement agencies are understaffed and with its army stretched thin by other conflicts, the cattle-rustler crisis has continued unabated mostly in Zamfara but also Kaduna, Katsina, Niger and, recently, Sokoto states.",law enforcement agencies are understaffed,cattle-rustler crisis,Positive,35,habitus,34
89,"Nigeria’s law enforcement agencies are understaffed and with its army stretched thin by other conflicts, the cattle-rustler crisis has continued unabated mostly in Zamfara but also Kaduna, Katsina, Niger and, recently, Sokoto states.",stretched thin army,cattle-rustler crisis,Positive,35,habitus,34
90,"The bandits are mostly Fulani mercenaries attacking predominantly Hausa settlements, with some criminal elements among the ethnic militia also instigating their own attacks in similar patterns, says the state government.",Fulani mercenaries,attacks on Hausa settlements,Positive,36,habitus,35
91,"The bandits are mostly Fulani mercenaries attacking predominantly Hausa settlements, with some criminal elements among the ethnic militia also instigating their own attacks in similar patterns, says the state government.",criminal elements among ethnic militia,attacks on Hausa settlements,Positive,36,habitus,35
92,Finances that ought to be used in the development of other sectors are used in addressing farmers–herdsmen conflict.,finances used in addressing farmers-herdsmen conflict,finances available for development of other sectors,Negative,38,habitus,36
93,"Inadequate supplies of agricultural products will consequently lead to worries, unrest, dearth of food securities, and adverse effects on national economy and security.",agricultural products,worries,Negative,39,habitus,37
94,"Inadequate supplies of agricultural products will consequently lead to worries, unrest, dearth of food securities, and adverse effects on national economy and security.",agricultural products,unrest,Negative,39,habitus,37
95,"Inadequate supplies of agricultural products will consequently lead to worries, unrest, dearth of food securities, and adverse effects on national economy and security.",agricultural products,dearth of food securities,Negative,39,habitus,37
96,"Inadequate supplies of agricultural products will consequently lead to worries, unrest, dearth of food securities, and adverse effects on national economy and security.",products,adverse effects on national economy,Negative,39,habitus,37
97,"Inadequate supplies of agricultural products will consequently lead to worries, unrest, dearth of food securities, and adverse effects on national economy and security.",products,adverse effects on national security ,Negative,39,habitus,37
98,"Availability of agricultural products will result in vibrant health, stable mental and physical development of the citizens, and national productivity ",availability of agricultural products,vibrant health,Positive,40,habitus,38
99,"Availability of agricultural products will result in vibrant health, stable mental and physical development of the citizens, and national productivity ",availability of agricultural products,stable mental development of the citizens,Positive,40,habitus,38
100,"Availability of agricultural products will result in vibrant health, stable mental and physical development of the citizens, and national productivity ",availability of agricultural products,national productivity,Positive,40,habitus,38
101,"Availability of agricultural products will result in vibrant health, stable mental and physical development of the citizens, and national productivity ",availability of agricultural products,stable physical development of the citizens,Positive,40,habitus,38
102,The menaces of cattle rustling and banditry activities have become a serious threat to the safety and lives of the entire people of Zamfara State (including Anka and Maradun local government area).,cattle rustling,threat to safety and lives,Positive,41,habitus,39
103,The menaces of cattle rustling and banditry activities have become a serious threat to the safety and lives of the entire people of Zamfara State (including Anka and Maradun local government area).,banditry activities,threat to safety and lives,Positive,41,habitus,39
104,"Banditry, on the contrary, has been described as the act of robbery or violent crime especially in an area where the rule of law has broken down. It mostly involved the use of coercion and threat to rob, rape, and kill. ",banditry,robbery,Positive,43,habitus,40
105,"Banditry, on the contrary, has been described as the act of robbery or violent crime especially in an area where the rule of law has broken down. It mostly involved the use of coercion and threat to rob, rape, and kill. ",banditry,violent crime,Positive,43,habitus,40
106,"Banditry, on the contrary, has been described as the act of robbery or violent crime especially in an area where the rule of law has broken down. It mostly involved the use of coercion and threat to rob, rape, and kill. ",banditry,violent crime,Positive,43,habitus,40
107,"Banditry, on the contrary, has been described as the act of robbery or violent crime especially in an area where the rule of law has broken down. It mostly involved the use of coercion and threat to rob, rape, and kill. ",banditry,coercion and threat to kill,Positive,43,habitus,40
110,"Closely to the previous observation, were also of the view that climatic conditions should be seen as responsible for the lingering conflicts between farmers and herdsmen. They attributed these to the rate at which deserts are encroaching the Sahel regions that provide the source of livelihood for the cattle.",source of livelihood for cattle,conflicts between farmers and herdsmen,Positive,45,habitus,42
111,"Closely to the previous observation, were also of the view that climatic conditions should be seen as responsible for the lingering conflicts between farmers and herdsmen. They attributed these to the rate at which deserts are encroaching the Sahel regions that provide the source of livelihood for the cattle.",climatic conditions,desert encroachment,Positive,45,habitus,42
112,"Closely to the previous observation, were also of the view that climatic conditions should be seen as responsible for the lingering conflicts between farmers and herdsmen. They attributed these to the rate at which deserts are encroaching the Sahel regions that provide the source of livelihood for the cattle.",desert encroachment,source of livelihood for cattle,Negative,45,habitus,42
113,The encroachment in their own observation has been consequently responsible for the migration of herdsmen searching for their means of survival for themselves and their cattle.,encroachment,migration of herdsmen,Positive,46,habitus,43
114,The encroachment in their own observation has been consequently responsible for the migration of herdsmen searching for their means of survival for themselves and their cattle.,migration of herdsmen,search for means of survival for themselves,Positive,46,habitus,43
115,The encroachment in their own observation has been consequently responsible for the migration of herdsmen searching for their means of survival for themselves and their cattle.,migration of herdsmen,search for means of survival for their cattle,Positive,46,habitus,43
116,"Similarly, Audu (2013) argued that the consequences of climate change which has led to scarcity of water in the semi and region in sub-Saharan Africa can be seen as responsible for the farmers–herdsmen conflict.",scarcity of water,farmer-herdsmen conflict,Positive,47,habitus,44
117,"Similarly, Audu (2013) argued that the consequences of climate change which has led to scarcity of water in the semi and region in sub-Saharan Africa can be seen as responsible for the farmers–herdsmen conflict.",climate change,scarcity of water,Positive,47,habitus,44
121,The iron and folate tablets are prescribed to prevent and treat anaemia (decrease in the number of red blood cells) during pregnancy.,tablets,anaemia,Negative,0,habitus_sift,47
122,Eggs and chicken are very good source of protein.,Eggs,protein,Positive,1,habitus_sift,48
123,Eggs and chicken are very good source of protein.,chicken,protein,Positive,1,habitus_sift,48
124,"Now that we are approaching rainy season, … … access road is a serious problem because all the routes are bad.",bad,problem,Positive,2,habitus_sift,49
125,"Sugarcane is a rich source of iron and vitamins A, C, B1, B2, B3, B5, and B6.",Sugarcane,iron,Positive,3,habitus_sift,50
126,"Sugarcane is a rich source of iron and vitamins A, C, B1, B2, B3, B5, and B6.",Sugarcane,vitamins,Positive,3,habitus_sift,50
127,"Other health sources of protein are lean meats, low-fat milk, nuts, and beans such as kidney beans.",beans,protein,Positive,4,habitus_sift,51
128,"Other health sources of protein are lean meats, low-fat milk, nuts, and beans such as kidney beans.",meats,protein,Positive,4,habitus_sift,51
129,"Other health sources of protein are lean meats, low-fat milk, nuts, and beans such as kidney beans.",milk,protein,Positive,4,habitus_sift,51
130,"Other health sources of protein are lean meats, low-fat milk, nuts, and beans such as kidney beans.",nuts,protein,Positive,4,habitus_sift,51
131,"Other health sources of protein are lean meats, low-fat milk, nuts, and beans such as kidney beans.",beans,protein,Positive,4,habitus_sift,51
132,Touching a child makes him choke which leads to his death.,Touching,choke,Positive,5,habitus_sift,52
133,Touching a child makes him choke which leads to his death.,choke,death,Positive,5,habitus_sift,52
134,And the colostrum gives strength that's why it was fed.,colostrum,strength,Positive,6,habitus_sift,53
135,Anita may have thought that feeding colostrum gives the child the power to fight the disease.,feeding,power to,Positive,7,habitus_sift,54
136,"If they are anemic, this sometimes may lead to death.",anemic,death,Positive,8,habitus_sift,55
137,Ectopic pregnancy is a medical emergency and can be fatal if not treated.,treated,fatal,Negative,9,habitus_sift,56
138,Feeding this milk will keep the child healthy.,Feeding,healthy,Positive,10,habitus_sift,57
139,A woman deliver in the hospital or health facility is not brave.,deliver,not,Positive,11,habitus_sift,58
141,"During the singing, some women were thinking about the severe pain associated with the labour rather the unborn baby.",labour,pain,Positive,13,habitus_sift,60
142,Some of the women felt that it was consoling or reassuring to know that others are praying during pregnancy.,praying,consoling,Positive,14,habitus_sift,61
143,Some of the women felt that it was consoling or reassuring to know that others are praying during pregnancy.,praying,reassuring,Positive,14,habitus_sift,61
144,"Women felt that group prayer and fellowship among members was reassuring and at the end of a safe delivery, women gave testimonies and thanks to God at Church.",prayer,reassuring,Positive,15,habitus_sift,62
145,"Women felt that group prayer and fellowship among members was reassuring and at the end of a safe delivery, women gave testimonies and thanks to God at Church.",fellowship,reassuring,Positive,15,habitus_sift,62
146,As long as I am breast feeding I don't get pregnant,breast feeding,get pregnant,Negative,16,habitus_sift,63
147,Mother's colostrum gives strength to fight against diseases.,colostrum,strength,Positive,17,habitus_sift,64
148,Mother's colostrum gives strength to fight against diseases.,strength,diseases,Negative,17,habitus_sift,64
149,"It's consoling that somebody is praying for you, somebody is thinking about you and checking on you, I think it is really necessary.",praying,consoling,Positive,18,habitus_sift,65
150,"It's consoling that somebody is praying for you, somebody is thinking about you and checking on you, I think it is really necessary.",thinking about,consoling,Positive,18,habitus_sift,65
151,"It's consoling that somebody is praying for you, somebody is thinking about you and checking on you, I think it is really necessary.",checking on,consoling,Positive,18,habitus_sift,65
153,The women prayed believing that God will help them go through labour successfully and minimize their pain because the pain was unbearable.,help,labour,Positive,20,habitus_sift,67
154,Soni decided to get her child vaccinated because vaccinations can prevent fatal diseases.,vaccinations,diseases,Negative,21,habitus_sift,68
156,The prayer offered by pregnant women increases their faith and hope in God and it affords them the confidence of going through a safe delivery.,prayer,confidence,Positive,23,habitus_sift,70
157,The prayer offered by pregnant women increases their faith and hope in God and it affords them the confidence of going through a safe delivery.,prayer,faith,Positive,23,habitus_sift,70
158,The prayer offered by pregnant women increases their faith and hope in God and it affords them the confidence of going through a safe delivery.,prayer,hope,Positive,23,habitus_sift,70
159,Anita fed colostrum to the baby because feeding gives the child the ability to fight against the disease.,fed,fight against,Positive,24,habitus_sift,71
160,Anita fed colostrum to the baby because feeding gives the child the ability to fight against the disease.,feeding,fight against,Positive,24,habitus_sift,71
161,"Often the woman already wishes to leave her husband, and the rival’s coming provides an institu­tionalized excuse for her to leave.",coming,leave,Positive,25,habitus_sift,72
162,"Yes, it is true, women are not supposed to say they are pregnant if it's not visible. They say if you talk about it then witches will kill your child.",talk,kill,Positive,26,habitus_sift,73
163,"IFA consumption also prevents swelling of hands and legs, it also increases strength in the body. And it also makes the child healthy.",consumption,strength,Positive,27,habitus_sift,74
164,"IFA consumption also prevents swelling of hands and legs, it also increases strength in the body. And it also makes the child healthy.",consumption,swelling,Negative,27,habitus_sift,74
165,"Myth & superstition: Don’t eat THAT, it will make your baby sick",eat,sick,Positive,28,habitus_sift,75
174,"After her birth Hauwa started to lose a lot of blood, the leading cause of maternal death worldwide.",lose,death,Positive,31,habitus_sift,78
179,Specific dietary restrictions such as avoidance of fish in diet may predispose the pregnant woman to dietary deficiencies.,restrictions,deficiencies,Positive,35,habitus_sift,82
180,Specific dietary restrictions such as avoidance of fish in diet may predispose the pregnant woman to dietary deficiencies.,avoidance,deficiencies,Positive,35,habitus_sift,82
182,"It is believed that if a woman does not do the ritual, the child will be abnormal.'",not,abnormal,Positive,37,habitus_sift,84
183,I even heard that if you don’t have sex when you reach a certain stage in your life you may even die of [accumulated] sperm.,sperm,die,Positive,38,habitus_sift,85
185,Our religion and culture forbids the free mingling of men and women you know.,religion,mingling,Negative,40,habitus_sift,87
186,Our religion and culture forbids the free mingling of men and women you know.,culture,mingling,Negative,40,habitus_sift,87
187,Family influence and secrecy were associated with the use of artefacts.,influence,use,Positive,41,habitus_sift,88
188,Family influence and secrecy were associated with the use of artefacts.,secrecy,use,Positive,41,habitus_sift,88
189,"It was erroneously believed that for women who do not menstruate monthly, the waste products that the menstrual fluid is supposed to get rid of can accumulate and lead to ""diseases"".",waste products,diseases,Positive,42,habitus_sift,89
190,"It was erroneously believed that for women who do not menstruate monthly, the waste products that the menstrual fluid is supposed to get rid of can accumulate and lead to ""diseases"".",menstrual fluid,waste products,Negative,42,habitus_sift,89
191,"The cancer, it was claimed, was the result of accumulated menstrual flow arising from amenorrhoea.",menstrual flow,cancer,Positive,43,habitus_sift,90
192,"The cancer, it was claimed, was the result of accumulated menstrual flow arising from amenorrhoea.",amenorrhoea,menstrual flow,Positive,43,habitus_sift,90
193,It [breast feeding] also helps the mother's uterus to shrink and close …helping to stop bleeding.,breast feeding,shrink,Positive,44,habitus_sift,91
194,It [breast feeding] also helps the mother's uterus to shrink and close …helping to stop bleeding.,breast feeding,close,Positive,44,habitus_sift,91
195,It [breast feeding] also helps the mother's uterus to shrink and close …helping to stop bleeding.,shrink,stop,Positive,44,habitus_sift,91
196,It [breast feeding] also helps the mother's uterus to shrink and close …helping to stop bleeding.,close,stop,Positive,44,habitus_sift,91
197,"Also, pregnancy and childbirth are associated with religious and traditional beliefs and practices in many countries.",pregnancy,beliefs,Positive,45,habitus_sift,92
198,"Also, pregnancy and childbirth are associated with religious and traditional beliefs and practices in many countries.",pregnancy,practices,Positive,45,habitus_sift,92
199,"Also, pregnancy and childbirth are associated with religious and traditional beliefs and practices in many countries.",childbirth,beliefs,Positive,45,habitus_sift,92
200,"Also, pregnancy and childbirth are associated with religious and traditional beliefs and practices in many countries.",childbirth,practices,Positive,45,habitus_sift,92
201,A few of the participants reported their traditional beliefs and practices such as food and water restrictions and tribal rituals invoked extra protection from ancestors.,rituals,protection from,Positive,46,habitus_sift,93
202,A few of the participants reported their traditional beliefs and practices such as food and water restrictions and tribal rituals invoked extra protection from ancestors.,beliefs,protection from,Positive,46,habitus_sift,93
203,A few of the participants reported their traditional beliefs and practices such as food and water restrictions and tribal rituals invoked extra protection from ancestors.,practices,protection from,Positive,46,habitus_sift,93
204,A few of the participants reported their traditional beliefs and practices such as food and water restrictions and tribal rituals invoked extra protection from ancestors.,restrictions,protection from,Positive,46,habitus_sift,93
205,"The main direct causes of maternal mortality are haemorrhage, eclampsia, sepsis and unsafe abortion, while the indirect causes include hepatitis, anaesthetic complications, HIV/AIDS-related deaths and acute renal failure.",hepatitis,mortality,Positive,47,habitus_sift,94
206,"The main direct causes of maternal mortality are haemorrhage, eclampsia, sepsis and unsafe abortion, while the indirect causes include hepatitis, anaesthetic complications, HIV/AIDS-related deaths and acute renal failure.",complications,mortality,Positive,47,habitus_sift,94
207,"The main direct causes of maternal mortality are haemorrhage, eclampsia, sepsis and unsafe abortion, while the indirect causes include hepatitis, anaesthetic complications, HIV/AIDS-related deaths and acute renal failure.",HIV,deaths,Positive,47,habitus_sift,94
208,"The main direct causes of maternal mortality are haemorrhage, eclampsia, sepsis and unsafe abortion, while the indirect causes include hepatitis, anaesthetic complications, HIV/AIDS-related deaths and acute renal failure.",HIV,mortality,Positive,47,habitus_sift,94
209,"The main direct causes of maternal mortality are haemorrhage, eclampsia, sepsis and unsafe abortion, while the indirect causes include hepatitis, anaesthetic complications, HIV/AIDS-related deaths and acute renal failure.",AIDS,deaths,Positive,47,habitus_sift,94
210,"The main direct causes of maternal mortality are haemorrhage, eclampsia, sepsis and unsafe abortion, while the indirect causes include hepatitis, anaesthetic complications, HIV/AIDS-related deaths and acute renal failure.",AIDS,mortality,Positive,47,habitus_sift,94
